x-men-origins-wolverine;X-Men Origins: Wolverine;Action;Griptonite Games;60;2009-05-01 00:00:00.000000
hoard;Hoard;Action;Big Sandwich Games, Inc.;0;2011-03-21 00:00:00.000000
patapon-3;Patapon 3;Action;SCE Japan Studio;74;2011-04-12 00:00:00.000000
lego-indiana-jones:-the-original-adventures;LEGO Indiana Jones: The Original Adventures;Adventure;Traveller's Tales;76;2008-06-03 00:00:00.000000
tactics-ogre-let-us-cling-together;Tactics Ogre: Let Us Cling Together;Strategy;Square Enix;87;2011-02-15 00:00:00.000000
the-sims-2-pets;The Sims 2: Pets;Simulation;Maxis;57;2006-12-14 00:00:00.000000
chili-con-carnage;Chili Con Carnage;Action;Deadline Games;74;2007-02-27 00:00:00.000000
the-eye-of-judgment-legends;The Eye of Judgment: Legends;Strategy;SCEI;69;2010-03-10 00:00:00.000000
metal-slug-anthology;Metal Slug Anthology;Miscellaneous;Terminal Reality;78;2007-02-20 00:00:00.000000
carol-vordermans-sudoku;Carol Vorderman's Sudoku;Miscellaneous;Empire Interactive;72;2007-03-06 00:00:00.000000
grand-theft-auto-liberty-city-stories;Grand Theft Auto: Liberty City Stories;Action,Adventure;Rockstar Leeds;88;2005-10-24 00:00:00.000000
age-of-zombies;Age of Zombies;Action,Adventure;Halfbrick Studios;79;2010-02-25 00:00:00.000000
marvel-ultimate-alliance-2;Marvel: Ultimate Alliance 2;Role-Playing;Savage Entertainment;0;2009-09-22 00:00:00.000000
harry-potter-and-the-goblet-of-fire;Harry Potter and the Goblet of Fire;Action,Adventure;Electronic Arts;70;2005-11-15 00:00:00.000000
petz-my-puppy-family;Petz: My Puppy Family;Simulation,Virtual,Pet;Ubisoft Nagoya / Ubisoft;87;2009-06-19 00:00:00.000000
dissidia-012-duodecim-final-fantasy;Dissidia 012: Duodecim Final Fantasy;Action;Square Enix;78;2011-03-22 00:00:00.000000
test-drive-unlimited;Test Drive Unlimited;Driving;Melbourne House;80;2007-03-21 00:00:00.000000
castlevania-dracula-x-chronicles;Castlevania: The Dracula X Chronicles;Action;Konami;80;2007-10-23 00:00:00.000000
spider-man-friend-or-foe;Spider-Man: Friend or Foe;Action;Artificial Mind and Movement;58;2007-10-02 00:00:00.000000
toy-story-3;Toy Story 3;Action;Asobo Studio;73;2010-06-15 00:00:00.000000
the-mystery-team;The Mystery Team;Adventure;;82;1970-01-01 01:00:00.000000
star-ocean-second-evolution;Star Ocean: Second Evolution;Role-Playing;TOSE;75;2009-01-19 00:00:00.000000
g-force;G-Force;Action;Keen Games;0;2009-07-21 00:00:00.000000
asterix-&-obelix-xxl-2:-mission:-wifix;Asterix & Obelix XXL 2: Mission: Wifix;Action,Platformer,3D;Tate Interactive / Atari;68;2006-11-17 00:00:00.000000
tekken-6;Tekken 6;Action;Namco Bandai Games America, Namco Bandai Games;82;2009-11-24 00:00:00.000000
avatar-the-game;James Cameron's Avatar: The Game;Action;Ubisoft, Ubisoft Montreal;51;2009-12-08 00:00:00.000000
the-godfather-mob-wars;The Godfather: Mob Wars;Action,Adventure;Page 44 Studios;59;2006-09-19 00:00:00.000000
blood-bowl;Blood Bowl;Sports;Cyanide;61;2010-04-13 00:00:00.000000
despicable-me;Despicable Me;Action;Monkey Bar Games;0;2010-07-06 00:00:00.000000
sid-meiers-pirates!;Sid Meier's Pirates!;Strategy;Full Fat;82;2007-01-22 00:00:00.000000
naruto-shippuden-ultimate-ninja-impact;Naruto Shippuden: Ultimate Ninja Impact;Action;Racjin;59;2011-10-18 00:00:00.000000
pirates-of-the-caribbean-dead-mans-chest;Pirates of the Caribbean: Dead Man's Chest;Action,Adventure;Griptonite Games;52;2006-06-27 00:00:00.000000
final-fantasy-i;Final Fantasy IV: The Complete Collection;Role-Playing;Bullets;77;2011-04-19 00:00:00.000000
gran-turismo;Gran Turismo;Driving;Polyphony Digital;74;2009-10-01 00:00:00.000000
lego-star-wars-ii-the-original-trilogy;LEGO Star Wars II: The Original Trilogy;Action,Adventure;Traveller's Tales;83;2006-09-12 00:00:00.000000
free-running;Free Running;Sports;Core Design Ltd.;0;1970-01-01 01:00:00.000000
untold-legends-the-warriors-code;Untold Legends: The Warrior's Code;Role-Playing;Sony Online Entertainment;65;2006-03-28 00:00:00.000000
final-fantasy-iii;Final Fantasy III;Role-Playing;Matrix Software;89;2012-09-25 00:00:00.000000
pro-evolution-soccer-2013;Pro Evolution Soccer 2013;Sports;Konami;0;2012-11-06 00:00:00.000000
yu-gi-oh-gx-tag-force-3;Yu-Gi-Oh! Duel Monsters GX: Tag Force 3;Strategy;Konami;0;1970-01-01 01:00:00.000000
persona-2-innocent-sin;Shin Megami Tensei: Persona 2 - Innocent Sin;Role-Playing;ITL;75;2011-09-20 00:00:00.000000
ssx-on-tour;SSX On Tour;Sports;EA Montreal;79;2005-10-11 00:00:00.000000
atari-classics-evolved;Atari Classics Evolved;Miscellaneous;Stainless Games;64;2007-12-19 00:00:00.000000
monster-hunter-freedom-unite;Monster Hunter Freedom Unite;Role-Playing;Capcom;81;2009-06-22 00:00:00.000000
fifa-14;FIFA 14;Sports;EA Canada;30;2013-09-24 00:00:00.000000
naruto-ultimate-ninja-heroes-2-the-phantom-fortress;Naruto: Ultimate Ninja Heroes 2: The Phantom Fortress;Action;CyberConnect2;64;2008-06-24 00:00:00.000000
need-for-speed-most-wanted;Need for Speed: Most Wanted 5-1-0;Driving;EA Canada;72;2005-11-15 00:00:00.000000
star-wars-battlefront-renegade-squadron;Star Wars Battlefront: Renegade Squadron;Action;Rebellion;73;2007-10-09 00:00:00.000000
iron-man;Iron Man;Action;Artificial Mind and Movement;44;2008-05-02 00:00:00.000000
patapon-1;Patapon 3: Mission Pack 1;Action;SCE Japan Studio;0;2011-09-27 00:00:00.000000
worms-open-warfare;Worms: Open Warfare;Strategy;Team 17;70;2006-03-22 00:00:00.000000
tomb-raider-anniversary;Tomb Raider: Anniversary;Action,Adventure;Crystal Dynamics;78;2007-08-09 00:00:00.000000
dirt-2;DiRT 2;Driving;Codemasters;55;2009-09-08 00:00:00.000000
warriors-orochi-2;Warriors Orochi 2;Action;Omega Force;56;2009-08-28 00:00:00.000000
the-king-of-fighters-collection-the-orochi-saga;The King of Fighters Collection: The Orochi Saga;Action;SNK Playmore;61;2008-10-28 00:00:00.000000
ben-10-ultimate-alien-cosmic-destruction;Ben 10 Ultimate Alien: Cosmic Destruction;Action;Papaya Studios;0;2010-10-05 00:00:00.000000
invizimals-the-lost-tribes;Invizimals: The Lost Tribes;Miscellaneous;Novarama;0;2014-09-23 00:00:00.000000
bomberman-land;Bomberman Land;Action;Racjin;55;2008-01-29 00:00:00.000000
mega-minis-volume-1;Mega Minis Volume 1;Miscellaneous,Compilation;Various / SCEE;60;2011-05-06 00:00:00.000000
star-wars-the-force-unleashed;Star Wars: The Force Unleashed;Action;Krome Studios;70;2008-09-16 00:00:00.000000
g-i--joe-the-rise-of-cobra;G.I. Joe: The Rise of Cobra;Action,General;Double Helix Games / Electronic Arts;66;2009-08-04 00:00:00.000000
generation-of-chaos;Generation of Chaos;Strategy;Idea Factory;60;2006-02-28 00:00:00.000000
army-of-two-the-40th-day;Army of Two: The 40th Day;Action;Buzz Monkey, EA Montreal;49;2010-01-12 00:00:00.000000
desi-adda-games-of-india;Desi Adda: Games of India;Compilation;GameShastra;47;1970-01-01 01:00:00.000000
young-thor;Young Thor;Action;Frima Studio;71;2010-07-20 00:00:00.000000
exit-2;Exit 2;Puzzle,Action;Taito Corporation / 505 Game Street;64;2007-03-23 00:00:00.000000
up;Up;Action,Adventure;Asobo Studio;0;2009-05-26 00:00:00.000000
ace-combat-joint-assault;Ace Combat: Joint Assault;Action;Project Aces;71;2010-08-31 00:00:00.000000
star-wars-the-clone-wars-republic-heroes;Star Wars The Clone Wars: Republic Heroes;Action,Adventure;LucasArts, Krome Studios;0;2009-10-06 00:00:00.000000
dead-head-fred;Dead Head Fred;Action,Adventure;Vicious Cycle;75;2007-08-28 00:00:00.000000
need-for-speed-underground-rivals;Need for Speed Underground Rivals;Driving;Team Fusion;74;2005-03-14 00:00:00.000000
shaun-white-snowboarding;Shaun White Snowboarding;Sports;Ubisoft;70;2008-11-16 00:00:00.000000
half-minute-hero;Half-Minute Hero;Role-Playing;Opus;84;2009-10-13 00:00:00.000000
the-warriors;The Warriors;Action;Rockstar Toronto, Rockstar Leeds;81;2007-02-12 00:00:00.000000
dragon-ball-evolution;Dragon Ball: Evolution;Action;Dimps Corporation;28;2009-04-08 00:00:00.000000
pangya-fantasy-golf;Pangya Fantasy Golf;Sports;Ntreev Soft;77;2009-06-23 00:00:00.000000
naruto-shippuden-kizuna-drive;Naruto Shippuden: Kizuna Drive;Action;Premium Agency;57;2011-03-22 00:00:00.000000
fullmetal-alchemist-brotherhood;Fullmetal Alchemist: Brotherhood;Action;Bandai Namco Games;77;1970-01-01 01:00:00.000000
football-manager-handheld-2012;Football Manager Handheld 2012;Sports;Sports Interactive;66;2011-10-28 00:00:00.000000
spider-man-web-of-shadows;Spider-Man: Web of Shadows;Action;Treyarch, Shaba Games;25;2008-10-21 00:00:00.000000
assassins-creed-bloodlines;Assassin's Creed: Bloodlines;Action,Adventure;Griptonite Games;63;2009-11-17 00:00:00.000000
fifa-street-2;FIFA Street 2;Sports;EA Canada;58;2006-02-28 00:00:00.000000
the-simpsons-game;The Simpsons Game;Action;Electronic Arts;59;2007-11-05 00:00:00.000000
shin-megami-tensei-persona;Shin Megami Tensei: Persona;Role-Playing;ITL;78;2009-09-22 00:00:00.000000
metal-slug;Metal Slug;Action;SNK Playmore;0;2010-12-21 00:00:00.000000
lunar-silver-star-harmony;Lunar: Silver Star Harmony;Role-Playing;Game Arts;80;2010-03-02 00:00:00.000000
disgaea-infinite;Disgaea Infinite;Adventure;Nippon Ichi Software;64;2010-06-08 00:00:00.000000
grand-theft-auto-vice-city-stories;Grand Theft Auto: Vice City Stories;Action,Adventure;Rockstar Leeds;86;2006-10-31 00:00:00.000000
prince-of-persia-rival-swords;Prince of Persia Rival Swords;Action,Adventure;Pipeworks Software, Inc.;74;2007-04-03 00:00:00.000000
the-sims-2-castaway;The Sims 2: Castaway;Simulation;Maxis;64;2007-10-22 00:00:00.000000
white-knight-chronicles-origins;White Knight Chronicles: Origins;RPG;;74;1970-01-01 01:00:00.000000
scooby-doo!-who's-watching-who;Scooby Doo! Who's Watching Who?;Adventure;THQ;54;2006-10-16 00:00:00.000000
air-conflicts;Air Conflicts: Aces of World War II;Simulation;Cowboy Rodeo;36;2009-04-14 00:00:00.000000
hellboy-the-science-of-evil;Hellboy: The Science of Evil;Action;Krome Studios;42;2008-06-24 00:00:00.000000
metal-gear-solid-peace-walker;Metal Gear Solid: Peace Walker;Action,Adventure;Kojima Productions;89;2010-06-08 00:00:00.000000
valkyria-chronicles-2;Valkyria Chronicles II;Role-Playing;Sega;83;2010-08-30 00:00:00.000000
mega-man-powered-up;Mega Man Powered Up;Action;Capcom;82;2006-03-14 00:00:00.000000
lego-harry-potter-years-1-4;LEGO Harry Potter: Years 1-4;Action,Adventure;TT Fusion;71;2010-06-29 00:00:00.000000
the-secret-saturdays;The Secret Saturdays: Beasts of the 5th Sun;Action,Adventure;High Voltage Software;0;2009-10-20 00:00:00.000000
naruto-ultimate-ninja-heroes;Naruto: Ultimate Ninja Heroes;Action;Bandai;70;2007-08-28 00:00:00.000000
yummy-yummy-cooking-jam;Yummy Yummy Cooking Jam;Miscellaneous;Virtual Toys;0;2009-10-29 00:00:00.000000
locoroco-midnight-carnival;LocoRoco Midnight Carnival;Miscellaneous;SCE Japan Studio;73;2009-10-29 00:00:00.000000
jak-and-daxter-the-lost-frontier;Jak and Daxter: The Lost Frontier;Action,Adventure;High Impact Games;71;2009-11-03 00:00:00.000000
worms-open-warfare-2;Worms: Open Warfare 2;Strategy;Team 17, Two Tribes;80;2007-09-04 00:00:00.000000
bounty-hounds;Bounty Hounds;Action;Xpec;63;2006-09-13 00:00:00.000000
dungeons-&-dragons-tactics;Dungeons & Dragons Tactics;Strategy;Kuju Entertainment;58;2007-08-14 00:00:00.000000
star-wars-battlefront-elite-squadron;Star Wars Battlefront: Elite Squadron;Action;Savage Entertainment;63;2009-11-03 00:00:00.000000
lemmings;Lemmings;Miscellaneous;Team 17;76;2006-05-23 00:00:00.000000
resistance-retribution;Resistance: Retribution;Action;Sony Bend;81;2009-03-17 00:00:00.000000
mega-man-maverick-hunter-x;Mega Man Maverick Hunter X;Action;Capcom;79;2006-01-31 00:00:00.000000
pro-evolution-soccer-2012;Pro Evolution Soccer 2012;Sports;Konami;74;2011-11-08 00:00:00.000000
need-for-speed-shift;Need for Speed: Shift;Driving;EA Bright Light;69;2009-09-15 00:00:00.000000
disgaea-afternoon-of-darkness;Disgaea: Afternoon of Darkness;Strategy;Nippon Ichi Software;87;2007-10-30 00:00:00.000000
tmnt;TMNT;Action;Ubisoft Montreal;37;2007-03-20 00:00:00.000000
robin-hood;Robin Hood: The Return of Richard;Action;Nordcurrent;0;2010-05-25 00:00:00.000000
marvel-super-hero-squad;Marvel Super Hero Squad;Adventure;THQ;51;2009-10-20 00:00:00.000000
ratchet-and-clank-size-matters;Ratchet & Clank: Size Matters;Action;High Impact Games;85;2007-02-13 00:00:00.000000
metal-slug-xx;Metal Slug XX;Action;SNK Playmore;67;2010-02-23 00:00:00.000000
cladun-this-is-an-rpg;Cladun: This is an RPG;Role-Playing;System Prisma;78;2010-09-20 00:00:00.000000
tetris;Tetris;Miscellaneous;EA Mobile;85;2009-10-01 00:00:00.000000
patapon-2;Patapon 2;Action;SCE Japan Studio;81;2009-05-05 00:00:00.000000
marvel-ultimate-alliance;Marvel: Ultimate Alliance;Role-Playing;Vicarious Visions;81;2006-10-24 00:00:00.000000
syphon-filter-dark-mirror;Syphon Filter: Dark Mirror;Action;Sony Bend;87;2006-03-14 00:00:00.000000
ghostbusters;Ghostbusters: The Video Game;Action;Red Fly Studio;54;2009-10-30 00:00:00.000000
