x-men-origins-wolverine;X-Men Origins: Wolverine;Action;Griptonite Games;60;2009-05-01 00:00:00.000000
ragnarok-tactics;Ragnarok Tactics;Role-Playing;ApolloSoft;65;2012-11-06 00:00:00.000000
dungeon-maker-ii-the-hidden-war;Dungeon Maker II: The Hidden War;Role-Playing;Global A;0;2008-12-09 00:00:00.000000
class-of-heroes;Class of Heroes;Role-Playing;Zerodiv;61;2009-06-09 00:00:00.000000
tron-evolution;TRON: Evolution;Action,Adventure;SuperVillain Studios;0;2010-12-07 00:00:00.000000
freak-out-extreme-freeride;Freak Out: Extreme Freeride;Sports,Individual,Ski,/,Snowboard;Coldwood Interactive / JoWooD Entertainment AG;89;2007-10-26 00:00:00.000000
super-stardust-portable;Super Stardust Portable;Action;Housemarque;69;2008-12-04 00:00:00.000000
unbound-saga;Unbound Saga;Action;Vogster;56;2009-07-16 00:00:00.000000
gangs-of-london;Gangs of London;Action,Adventure;SCEE London Studio;52;2006-10-03 00:00:00.000000
tales-of-the-world-radiant-mythology;Tales of the World: Radiant Mythology;Role-Playing;Alfa System;66;2007-07-17 00:00:00.000000
f1-2009;F1 2009;Driving;Sumo Digital;68;2009-11-16 00:00:00.000000
hysteria;Hysteria Project;Action,Adventure;Bulkypix;68;2010-04-22 00:00:00.000000
lego-harry-potter-years-5-7;LEGO Harry Potter: Years 5-7;Action,Adventure;Traveller's Tales;0;2011-11-11 00:00:00.000000
football-manager-handheld-2013;Football Manager Handheld 2013;Sports,Team,Soccer,Management;Sports Interactive / Sega;66;2012-11-30 00:00:00.000000
prince-of-persia-the-forgotten-sands;Prince of Persia: The Forgotten Sands;Action,Adventure;Ubisoft Quebec;65;2010-05-18 00:00:00.000000
snk-arcade-classics-volume-1;SNK Arcade Classics Vol. 1;Miscellaneous;Terminal Reality;68;2008-05-05 00:00:00.000000
aces-of-war;Air Conflicts: Aces of World War II;Simulation;Cowboy Rodeo;36;2009-04-14 00:00:00.000000
shadow-of-destiny;Shadow of Destiny;Adventure;Konami;54;2010-01-26 00:00:00.000000
tenchu-shadow-assassins;Tenchu: Shadow Assassins;Action,Adventure;From Software;68;2009-03-24 00:00:00.000000
gods-eater-burst;Gods Eater Burst;Role-Playing;Shift, Bandai Namco Games;71;2011-03-15 00:00:00.000000
hexyz-force;Hexyz Force;Role-Playing;Sting;68;2010-06-02 00:00:00.000000
great-battles-of-rome;The History Channel: Great Battles of Rome;Strategy;Slitherine;0;1970-01-01 01:00:00.000000
killzone-liberation;Killzone: Liberation;Action;Guerrilla;77;2006-10-31 00:00:00.000000
ghost-recon-advanced-warfighter-2;Tom Clancy's Ghost Recon Advanced Warfighter 2;Action;High Voltage Software, Ubisoft Paris;61;2007-08-23 00:00:00.000000
patchwork-heroes;Patchwork Heroes;Action;Acquire;80;2010-03-17 00:00:00.000000
kingdom-hearts-birth;Kingdom Hearts: Birth by Sleep;Role-Playing;Square Enix;82;2010-09-07 00:00:00.000000
wwii-battle-over-the-pacific;WWII: Battle Over The Pacific;Flight;;49;1970-01-01 01:00:00.000000
gti-club-supermini-festa;GTI Club Supermini Festa!;Driving;Konami;0;2010-02-24 00:00:00.000000
transformers-the-game;Transformers: The Game;Action,Adventure;Savage Entertainment;47;2007-06-19 00:00:00.000000
sonic-rivals;Sonic Rivals;Driving;Backbone Entertainment;64;2006-11-16 00:00:00.000000
virtua-tennis-3;Virtua Tennis 3;Sports;Sumo Digital;79;2007-03-26 00:00:00.000000
puzzle-chronicles;Puzzle Chronicles;Miscellaneous;Konami;62;2010-01-28 00:00:00.000000
lord-of-arcana;Lord of Arcana;Action;Access Games;53;2011-01-25 00:00:00.000000
everyday-shooter;Everyday Shooter;Action;Backbone Entertainment;68;2008-12-04 00:00:00.000000
star-wars-battlefront-ii;Star Wars: Battlefront II;Action;Savage Entertainment;69;2005-10-31 00:00:00.000000
need-for-speed-undercover;Need for Speed Undercover;Driving;Piranha Games;52;2008-11-17 00:00:00.000000
final-fantasy-ii;Final Fantasy II;Role-Playing;TOSE;63;2007-07-24 00:00:00.000000
mtx-mototrax;MTX Mototrax;Driving;Left Field Productions;67;2006-06-28 00:00:00.000000
after-burner-black-falcon;After Burner: Black Falcon;Simulation;Planet Moon Studios;73;2007-03-20 00:00:00.000000
coded-arms-contagion;Coded Arms: Contagion;Adventure;Creat Studios;56;2007-09-18 00:00:00.000000
burnout-dominator;Burnout Dominator;Driving;Criterion Games;76;2007-03-06 00:00:00.000000
wall-e;WALL-E;Action;Heavy Iron Studios;64;2008-06-24 00:00:00.000000
yu-gi-oh-5ds-tag-force-4;Yu-Gi-Oh! 5D's Tag Force 4;Strategy,Turn-Based,Card,Battle;Konami;85;2009-11-18 00:00:00.000000
disgaea-2-dark-hero-days;Disgaea 2: Dark Hero Days;Strategy;Nippon Ichi Software;83;2009-09-08 00:00:00.000000
indiana-jones-and-the-staff-of-kings;Indiana Jones and the Staff of Kings;Action;Amaze;63;2009-06-09 00:00:00.000000
the-legend-of-heroes:-trails-in-the-sky;The Legend of Heroes: Trails in the Sky;Role-Playing;Falcom;79;2011-03-29 00:00:00.000000
spongebob-truth-or-square;SpongeBob's Truth or Square;Action;Heavy Iron Studios;0;2009-10-26 00:00:00.000000
gun-showdown;Gun Showdown;Action,Adventure;Rebellion, Neversoft Entertainment;73;2006-10-10 00:00:00.000000
no-gravity-the-plague-of-mind;No Gravity: The Plague of Mind;Simulation;Realtech VR;65;2009-02-26 00:00:00.000000
lego-indiana-jones-2-the-adventure-continues;LEGO Indiana Jones 2: The Adventure Continues;Action,Adventure;Traveller's Tales;0;2009-11-17 00:00:00.000000
mytran-wars;Mytran Wars;Strategy;Stormregion;68;2009-10-26 00:00:00.000000
myst;Myst;Adventure;Hoplite Research;69;2009-07-16 00:00:00.000000
spider-man-3;Spider-Man 3;Action;Treyarch;52;2007-10-16 00:00:00.000000
aliens-vs-predator-requiem;Aliens vs. Predator: Requiem;Action,Adventure;Rebellion;49;2007-11-13 00:00:00.000000
crash-mind-over-mutant;Crash: Mind Over Mutant;Action;Virtuos;65;2008-10-21 00:00:00.000000
need-for-speed-carbon-own-the-city;Need for Speed Carbon: Own the City;Driving;EA Canada;73;2006-10-31 00:00:00.000000
ben-10-alien-force-vilgax-attacks;Ben 10: Alien Force Vilgax Attacks;Action;Papaya Studios;0;2009-10-27 00:00:00.000000
midnight-club-la-remix;Midnight Club: LA Remix;Driving;Rockstar London;79;2008-10-20 00:00:00.000000
il-2-sturmovik-birds-of-prey;IL-2 Sturmovik: Birds of Prey;Simulation;SME Dynamic Systems Limited;30;2009-09-10 00:00:00.000000
medal-of-honor-heroes;Medal of Honor Heroes;Action;Team Fusion;71;2006-10-20 00:00:00.000000
lego-batman;LEGO Batman: The Videogame;Action,Adventure;Traveller's Tales;73;2008-09-23 00:00:00.000000
hot-brain;Hot Brain;Miscellaneous;Creat Studios;64;2007-06-18 00:00:00.000000
harry-potter-and-the-half-blood-prince;Harry Potter and the Half-Blood Prince;Action,Adventure;EA Bright Light;66;2009-06-30 00:00:00.000000
spongebob-squarepants;SpongeBob SquarePants;Miscellaneous;;0;1970-01-01 01:00:00.000000
lego-star-wars-iii-the-clone-wars;LEGO Star Wars III: The Clone Wars;Action,Adventure;Traveller's Tales;63;2011-03-22 00:00:00.000000
dragoneers-aria;Dragoneer's Aria;Role-Playing;Hit Maker;56;2007-08-21 00:00:00.000000
n+;N+;Action;Metanet Software Inc., SilverBirch Studios;79;2008-08-26 00:00:00.000000
pirates-of-the-caribbean-at-worlds-end;Pirates of the Caribbean: At World's End;Action,Adventure;Eurocom Entertainment Software;61;2007-05-22 00:00:00.000000
echochrome;echochrome;Miscellaneous;SCE/WWS, SCE Japan Studio;79;2008-05-01 00:00:00.000000
crimson-gem-saga;Crimson Gem Saga;Role-Playing;IronNos Co.,Ltd.;78;2009-05-26 00:00:00.000000
crash-of-the-titans;Crash of the Titans;Action;SuperVillain Studios;71;2007-10-16 00:00:00.000000
metal-gear-solid-portable-ops;Metal Gear Solid: Portable Ops;Action,Adventure;Kojima Productions;87;2006-12-05 00:00:00.000000
locoroco-2;LocoRoco 2;Action;SCE Japan Studio;85;2009-02-10 00:00:00.000000
soulcalibur-broken-destiny;SoulCalibur: Broken Destiny;Action;Bandai Namco Games;80;2009-09-01 00:00:00.000000
cho-aniki-zero;Cho Aniki Zero;Action;extreme Co.,Ltd.;0;2010-03-24 00:00:00.000000
flick-fishing;Flick Fishing;Sports;Gameshastra Inc.;0;2010-10-26 00:00:00.000000
xyanide-resurrection;Xyanide Resurrection;Action;Playlogic;0;1970-01-01 01:00:00.000000
bleach-soul-carnival;Bleach: Soul Carnival;Action;Sony Computer Entertainment;85;1970-01-01 01:00:00.000000
darkstalkers-chronicle-the-chaos-tower;Darkstalkers Chronicle: The Chaos Tower;Action;Capcom;74;2005-03-24 00:00:00.000000
star-wars-lethal-alliance;Star Wars: Lethal Alliance;Action,Adventure;Ubisoft Montreal;61;2006-12-07 00:00:00.000000
ys-seven;Ys Seven;Role-Playing;Falcom;79;2010-08-17 00:00:00.000000
god-of-war-ghost-of-sparta;God of War: Ghost of Sparta;Action,Adventure;Ready at Dawn;86;2010-11-02 00:00:00.000000
kenka-bancho-badass-rumble;Kenka Bancho: Badass Rumble;Action;Bullets;70;2009-11-10 00:00:00.000000
mercury-meltdown;Mercury Meltdown;Miscellaneous;Ignition Entertainment;78;2006-10-03 00:00:00.000000
flow;flOw;Miscellaneous;SuperVillain Studios;70;2008-03-06 00:00:00.000000
lego-pirates-of-the-caribbean;LEGO Pirates of the Caribbean: The Video Game;Action,Adventure;Traveller's Tales;67;2011-05-10 00:00:00.000000
final-fantasy-vii-crisis-core;Crisis Core: Final Fantasy VII;Role-Playing;Square Enix;83;2008-03-24 00:00:00.000000
medievil;MediEvil: Resurrection;Action,Adventure;SCEE;66;2005-09-13 00:00:00.000000
mach-modified-air-combat-heroes;M.A.C.H. Modified Air Combat Heroes;Action;VU Games;65;2007-02-20 00:00:00.000000
the-3rd-birthday;The 3rd Birthday;Action;HexaDrive;71;2011-03-29 00:00:00.000000
ace-combat-x-skies-of-deception;Ace Combat X: Skies of Deception;Simulation;Project Aces;75;2006-10-23 00:00:00.000000
marvel-2;Marvel: Ultimate Alliance 2;Role-Playing;Savage Entertainment;0;2009-09-22 00:00:00.000000
fading-shadows;Fading Shadows;Miscellaneous;Ivolgamus;62;2008-07-03 00:00:00.000000
grand-theft-auto-chinatown-wars;Grand Theft Auto: Chinatown Wars;Action,Adventure;Rockstar Leeds;90;2009-10-20 00:00:00.000000
wipeout-pure;Wipeout Pure;Driving;Studio Liverpool;88;2005-03-16 00:00:00.000000
socom-u-s--navy-seals-fireteam-bravo-2;SOCOM: U.S. Navy SEALs Fireteam Bravo 2;Action,Shooter,Third-Person,Tactical;Zipper Interactive / SCEA;81;2006-11-07 00:00:00.000000
mana-khemia-student-alliance;Mana Khemia: Student Alliance;Role-Playing;Gust;41;2009-03-10 00:00:00.000000
jackass;Jackass the Game;Action;Sidhe Interactive;58;2007-09-27 00:00:00.000000
ghosts-n-goblins;Ultimate Ghosts 'n Goblins;Action;TOSE;72;2006-08-29 00:00:00.000000
sega-genesis-collection;Sega Genesis Collection;Miscellaneous;Sega;82;2006-11-16 00:00:00.000000
crazy-taxi-fare-wars;Crazy Taxi: Fare Wars;Miscellaneous;Sega;64;2007-08-07 00:00:00.000000
monopoly;Monopoly;Miscellaneous;Electronic Arts;0;2010-04-15 00:00:00.000000
god-of-war-chains-of-olympus;God of War: Chains of Olympus;Action,Adventure;Ready at Dawn;91;2008-03-04 00:00:00.000000
silent-hill-origins;Silent Hill: Origins;Action,Adventure;Climax Group, Climax Studios;78;2007-11-06 00:00:00.000000
dantes-inferno;Dante's Inferno;Action;EA Redwood Shores;70;2010-03-01 00:00:00.000000
marvel-nemesis-rise-of-the-imperfects;Marvel Nemesis: Rise of the Imperfects;Action;EA Canada;58;2005-10-04 00:00:00.000000
mega-minis-volume-2;Mega Minis Volume 2;Miscellaneous,Compilation;Various / SCEE;10;2011-05-06 00:00:00.000000
motorstorm-arctic-edge;MotorStorm Arctic Edge;Driving;Bigbig Studios;79;2009-09-29 00:00:00.000000
pac-man-world-3;Pac-Man World 3;Action;Blitz Games;61;2005-12-06 00:00:00.000000
x-men-legends-ii-rise-of-apocalypse;X-Men Legends II: Rise of Apocalypse;Role-Playing;Vicarious Visions;84;2005-10-18 00:00:00.000000
juiced-2-hot-import-nights;Juiced 2: Hot Import Nights;Driving;Juice Games;73;2007-10-08 00:00:00.000000
warhammer-40k-squad-command;Warhammer 40,000: Squad Command;Strategy;RedLynx;67;2007-11-12 00:00:00.000000
b-boy;B-Boy;Miscellaneous;FreeStyleGames;50;2008-09-23 00:00:00.000000
mimana-iyar-chronicles;Mimana Iyar Chronicle;Role-Playing;GungHo;45;2010-03-30 00:00:00.000000
silent-hill-shattered-memories;Silent Hill: Shattered Memories;Action,Adventure;Climax Group;73;2010-01-19 00:00:00.000000
daxter;Daxter;Action;Ready at Dawn;85;2006-03-14 00:00:00.000000
fate-unlimited-codes;Fate/Unlimited Codes;Action;Eighting;72;2009-09-03 00:00:00.000000
undead-knights;Undead Knights;Action,Adventure;Now Production;63;2009-09-29 00:00:00.000000
fifa-12;FIFA Soccer 12;Sports;Electronic Arts;45;2011-09-27 00:00:00.000000
tony-hawks-project-8;Tony Hawk's Project 8;Sports;Page 44 Studios;68;2006-11-21 00:00:00.000000
warriors-lost-empire;Warriors of the Lost Empire;Role-Playing;Platinum Egg;52;2007-12-13 00:00:00.000000
final-fantasy-iv-complete-collection;Final Fantasy IV: The Complete Collection;Role-Playing;Bullets;77;2011-04-19 00:00:00.000000
star-soldier;Star Soldier;Action,Shooter,Shoot-'Em-Up,Vertical;Hudson;72;2005-07-21 00:00:00.000000
obscure-the-aftermath;Obscure: The Aftermath;Action,Adventure;Hydravision;66;2009-10-13 00:00:00.000000
modnation-racers;ModNation Racers;Driving;SCEA San Diego Studios;73;2010-05-25 00:00:00.000000
super-hind;Super HIND;Flight;Virgin PLAY;55;1970-01-01 01:00:00.000000
the-lord-of-the-rings-aragorns-quest;The Lord of the Rings: Aragorn's Quest;Adventure;Warner Bros. Interactive;50;2010-09-15 00:00:00.000000